ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
7232060,175630,317736,100,6,117,35,4,0,1030,801,2710,0,398000,2020,398000,10000,13689,1225,6.6858611,6.937314
7108108,175795,317697,28,5,164,241,4,0,873,661,2867,0,470000,2020,470000,784,26896,58081,6.4937539,6.7719355
7206606,178055,317761,90,7,152,119,4,0,1170,1676,2569,0,469000,2020,469000,8100,23104,14161,7.4241652,7.0647593
7189060,174843,317719,58,7,124,313,4,1,1811,1572,1929,0,349000,2020,349000,3364,15376,97969,7.3601041,7.5016346
7072257,173278,317266,21,5,95,130,4,0,3426,3196,313,0,225000,2020,225000,441,9025,16900,8.0696554,8.1391487
6955147,179521,316560,52,5,110,126,3,1,2295,3434,1445,0,219000,2020,219000,2704,12100,15876,8.1414814,7.7384882
6962945,178975,318140,17,4,153,330,5,1,2132,2586,1608,0,459000,2020,459000,289,23409,108900,7.8578677,7.6648159
6911783,178780,314938,39,5,163,219,2,0,1501,3865,2239,0,250000,2020,250000,1521,26569,47961,8.259717,7.3138866
7051981,179754,319142,39,8,212,430,2,0,2762,3556,978,0,575000,2020,575000,1521,44944,184900,8.1763916,7.9237103
7284418,176354,316705,100,8,147,213,2,0,451,1274,3289,0,450000,2020,450000,10000,21609,45369,7.1499166,6.1114674
7063258,173630,319086,14,6,107,109,4,0,2583,2977,1157,0,249000,2020,249000,196,11449,11881,7.9986715,7.8567066
7168705,176586,319340,24,5,75,113,4,0,90,1375,3650,0,219000,2020,219000,576,5625,12769,7.2262092,4.4998097
7184002,173580,319067,13,6,150,192,4,1,2637,3016,1103,0,359000,2020,359000,169,22500,36864,8.0116863,7.8773971
6925802,177420,319872,27,6,102,369,4,0,414,2154,3326,0,224500,2020,224500,729,10404,136161,7.6750817,6.025866
7009389,178176,319463,63,10,385,647,3,0,1166,2319,2573,0,600000,2020,600000,3969,148225,418609,7.7488914,7.0613341
7256236,179596,316870,53,1,182,273,4,1,2410,3389,1330,0,370000,2020,370000,2809,33124,74529,8.1282902,7.7873821
7048885,174120,317079,55,5,85,124,4,0,2639,2445,1101,0,200000,2020,200000,3025,7225,15376,7.8018003,7.8781552
6953459,178548,317268,53,10,154,97,5,0,1490,2269,2249,0,365000,2020,365000,2809,23716,9409,7.7270947,7.3065314
7009325,175674,317624,100,7,107,132,4,1,1005,802,2735,0,425000,2020,425000,10000,11449,17424,6.6871085,6.9127426
7241732,176610,316406,65,6,134,156,4,0,145,1588,3595,0,450000,2020,450000,4225,17956,24336,7.3702307,4.9767337
7222792,175002,318153,90,7,174,493,4,0,1634,1402,2105,0,345000,2020,345000,8100,30276,243049,7.2456551,7.3987861
7021494,179131,318822,23,3,143,538,2,0,2184,2864,1556,0,475000,2020,475000,529,20449,289444,7.9599748,7.6889133
7158458,179269,319706,27,5,187,638,2,0,2261,3354,1479,0,535000,2020,535000,729,34969,407044,8.1179085,7.7235622
7043868,179140,319386,60,6,155,312,4,0,2132,3086,1608,0,369000,2020,369000,3600,24025,97344,8.0346308,7.6648159
7237481,178406,318005,13,6,133,113,4,0,1566,2013,2173,0,335000,2020,335000,169,17689,12769,7.6073813,7.3562799
7308084,178467,317799,17,2,147,139,4,1,1567,2081,2172,0,395000,2020,395000,289,21609,19321,7.640604,7.3569183
7311640,179553,319608,43,6,136,257,4,1,2547,3555,1192,0,325000,2020,325000,1849,18496,66049,8.1761103,7.8426714
5887983,178972,314779,53,5,157,386,4,1,1628,4109,2112,0,325058,2017,325000,2809,24649,148996,8.3209352,7.3951077
5058442,177811,314962,26,7,141,327,4,1,542,3333,3197,0,319072,2014,319000,676,19881,106929,8.1116285,6.2952662
6202143,178818,316041,34,5,110,145,4,0,1626,3104,2114,0,199045,2018,199000,1156,12100,21025,8.0404472,7.3938785
5789466,179355,317107,22,5,152,111,4,1,2236,3087,1503,0,270068,2016,270000,484,23104,12321,8.034955,7.7124438
6093545,178766,317540,62,7,176,198,2,1,1765,2413,1975,0,279074,2017,279000,3844,30976,39204,7.7886262,7.4759059
4399498,179560,317353,34,7,134,232,4,1,2502,3228,1237,0,324655,2012,324500,1156,17956,53824,8.0796185,7.8248458
4889335,176116,321071,47,9,140,271,4,1,311,3105,3429,1,194593,2015,194500,2209,19600,73441,8.0407686,5.7397928
5357951,173534,319045,14,6,129,200,4,1,2687,3052,1052,0,289202,2015,289000,196,16641,40000,8.0235519,7.8961806
4778882,175742,318016,53,5,89,90,5,0,890,652,2849,0,239170,2013,239000,2809,7921,8100,6.4800444,6.7912216
6003422,176213,317598,53,8,168,95,4,0,482,421,3257,0,525379,2017,525000,2809,28224,9025,6.0426331,6.1779442
5876299,176586,319340,25,4,75,124,4,0,90,1375,3650,0,169136,2017,169000,625,5625,15376,7.2262092,4.4998097
5371251,174858,319451,51,8,141,384,4,1,1309,2127,2431,0,229265,2015,229000,2601,19881,147456,7.662468,7.1770186
5490762,179267,316649,56,6,90,157,4,0,2050,3166,1690,0,174704,2015,174500,3136,8100,24649,8.0602245,7.6255951
4492476,178854,315461,43,5,120,185,4,1,1650,3520,2090,0,199271,2012,199000,1849,14400,34225,8.1662159,7.4085307
6692297,179465,318786,23,5,120,244,4,0,2519,3176,1221,0,359509,2019,359000,529,14400,59536,8.0633774,7.8316174
4952873,178859,315113,41,5,105,150,4,1,1598,3780,2142,0,189280,2014,189000,1681,11025,22500,8.2374792,7.3765082
4079037,178605,315833,39,5,119,180,4,1,1477,3081,2262,0,209328,2011,209000,1521,14161,32400,8.0330095,7.2977681
6201279,174599,319351,50,4,161,308,4,1,1586,2259,2154,0,219348,2017,219000,2500,25921,94864,7.7226777,7.3689704
6387490,174716,319025,9,5,130,130,5,0,1643,1977,2097,0,275441,2018,275000,81,16900,16900,7.5893359,7.4042792
4800009,173887,317492,55,6,142,207,4,1,2790,2553,950,0,169276,2013,169000,3025,20164,42849,7.8450246,7.9337969
6482153,177515,316102,32,4,115,227,4,1,385,2186,3354,0,249456,2018,249000,1024,13225,51529,7.6898289,5.9532433
5571412,175742,318016,100,3,89,90,5,0,890,652,2849,0,235447,2015,235000,10000,7921,8100,6.4800444,6.7912216
5999868,176204,316679,100,6,166,107,4,0,589,1313,3150,0,422840,2017,422000,10000,27556,11449,7.1800699,6.3784261
199694,178797,316950,65,7,130,225,4,1,1657,2614,2082,0,227970,2005,227500,4225,16900,50625,7.8686371,7.4127641
4782178,174042,315739,53,7,165,243,4,0,2736,3247,1004,0,395886,2013,395000,2809,27225,59049,8.0854864,7.9142523
3689632,174843,317719,53,5,129,251,2,0,1811,1572,1929,0,249648,2009,249000,2809,16641,63001,7.3601041,7.5016346
3257959,179021,315780,93,7,189,415,1,1,1874,3426,1865,0,209593,2007,209000,8649,35721,172225,8.1391487,7.5358305
6304920,175957,316633,63,9,150,163,1,0,821,1415,2918,0,285835,2018,285000,3969,22500,26569,7.2548847,6.7105231
5487316,179269,319706,34,4,100,118,2,0,2261,3354,1479,0,149439,2015,149000,1156,10000,13924,8.1179085,7.7235622
4738483,179151,316724,59,6,146,553,4,1,1946,3030,1794,0,240262,2013,239500,3481,21316,305809,8.0163183,7.5735312
424353,179471,319146,100,7,111,240,3,0,2480,3291,1260,0,208672,2003,208000,10000,12321,57600,8.0989466,7.8160138
459033,178284,318373,32,7,110,390,4,1,1407,1931,2332,0,182588,2003,182000,1024,12100,152100,7.5657935,7.2492151
6949050,178839,318050,19,5,142,276,4,1,2001,2447,1738,0,430398,2019,429000,361,20164,76176,7.802618,7.6014023
6317043,174462,317361,55,5,105,285,4,1,2244,2028,1496,0,259850,2018,259000,3025,11025,81225,7.6148052,7.7160153
6200747,178105,319276,33,5,104,120,2,1,1108,2148,2631,0,198206,2017,197500,1089,10816,14400,7.6722922,7.0103121
5892293,173311,316545,41,5,182,314,4,1,3440,3399,300,0,300076,2016,299000,1681,33124,98596,8.1312361,8.1432266
4347641,174829,316896,87,6,140,159,4,0,1978,1903,1761,0,344246,2012,343000,7569,19600,25281,7.551187,7.5898414
6838714,178803,317990,18,5,155,257,2,1,1950,2410,1790,0,450652,2019,449000,324,24025,66049,7.7873821,7.5755849
7074103,174659,319440,50,6,143,242,3,1,1496,2268,2244,0,270000,2020,269000,2500,20449,58564,7.7266536,7.3105502
5487070,179427,319367,42,6,160,520,4,1,2419,3336,1320,0,380454,2016,379000,1764,25600,270400,8.1125278,7.7911096
6059392,179394,319053,24,5,170,233,4,1,2416,3187,1324,0,330344,2017,329000,576,28900,54289,8.0668354,7.7898684
5762144,175141,318082,65,5,104,107,4,0,1493,1257,2247,0,209882,2016,209000,4225,10816,11449,7.1364832,7.3085427
6043408,178699,316800,90,7,163,400,1,1,1519,2589,2220,0,200849,2017,200000,8100,26569,160000,7.8590269,7.3258076
6200768,176514,316328,64,4,170,273,4,1,232,1655,3508,0,401698,2017,400000,4096,28900,74529,7.4115562,5.4467373
6043282,175913,321068,100,8,200,410,4,0,132,3126,3608,1,301274,2017,300000,10000,40000,168100,8.0475092,4.882802
5172741,179394,319053,22,5,140,261,5,1,2416,3187,1324,0,351520,2014,350000,484,19600,68121,8.0668354,7.7898684
6740444,178907,318049,19,5,140,302,2,0,2068,2514,1672,0,430904,2019,429000,361,19600,91204,7.8296304,7.6343374
4866310,177673,317486,23,5,123,124,4,1,714,1371,3026,0,300328,2013,299000,529,15129,15376,7.2232957,6.5708828
5250795,174826,316787,47,6,150,329,4,1,1962,1969,1777,0,310419,2014,309000,2209,22500,108241,7.5852809,7.5817199
5766706,179652,319267,41,7,130,177,2,0,2649,3504,1090,0,160755,2016,160000,1681,16900,31329,8.1616602,7.8819375
6244251,176222,316316,61,5,118,250,3,1,521,1672,3219,0,452139,2018,450000,3721,13924,62500,7.4217758,6.2557502
5265355,178930,315016,39,6,80,222,4,0,1662,3900,2077,0,169811,2014,169000,1521,6400,49284,8.2687321,7.4157772
6703373,175957,316633,63,10,178,143,4,0,821,1415,2918,0,326596,2019,325000,3969,31684,20449,7.2548847,6.7105231
7012625,175902,316735,62,5,177,217,4,0,896,1337,2844,0,400000,2020,398000,3844,31329,47089,7.1981835,6.7979403
